CC,Num,Opis,CC name
1132110,11038,TURMAT,Housing
1132110,11039,Kadia Honer,Housing
1132110,11040,Moriseiki,Housing
1131120,12000,Walki ogolny WRL,Shaft Soft
1132121,12001,Walki ogolny WRC,Shaft LR
1132121,120038,DO not use,Shaft LR
1131120,12010,Mori Seiki CL2000 - Turning,Shaft Soft
1131120,12011,MURATEC - Turning,Shaft Soft
1132121,12012,MURATEC - Odmuchiwanie otwor,Shaft LR
1131120,12021,Brother - Milling,Shaft Soft
1132121,12031,JUNKER GRIND 3,Shaft LR
1132121,12032,JUNKER GRIND 2,Shaft LR
1132121,12033,JUNKER GRIND 1,Shaft LR
1132121,12034,STUDER GRIND,Shaft LR
1132121,12035,JUNKER GRIND 2,Shaft LR
1132121,12036,JUNKER GRIND 4,Shaft LR
1132120,12038,do not use,Shaft HR
1132121,12039,do not use,Shaft LR
1132121,12040,Pakowanie do Ames,Shaft LR
1132120,12045,JUNKER GRIND HR,Shaft HR
1132120,12046,JUNKER GRIND HR,Shaft HR
1131120,12061,Pfauter (b©dzie Nowy Liebher),Shaft Soft
1131120,12062,HAAS - Milling,Shaft Soft
1132120,12070,STUDER S31 DW1400 -Szlifowanie,Shaft HR
1132121,12090,Magazyn  dostarczenie walkow,Shaft LR
1132130,130000,Magazyn  NIE UZYWAC !,Gear Whell Steel Sof
1132130,13010,Magazyn ( dostarczenie materialu),Gear Whell Steel Sof
1132130,130100,stacja pakowania dla Pune,Gear Whell Steel Sof
1132130,13020,EMAG Mill 1 +2,Gear Whell Steel Sof
1132130,13030,P.Wolters (End covers),Gear Whell Steel Sof
1132130,13035,Pfauter milling,Gear Whell Steel Sof
1132130,13040,25 tons Klink,Gear Whell Steel Sof
1132130,13050,Frmag,Gear Whell Steel Sof
1132130,13060,P. Wolters Lappe,Gear Whell Steel Sof
1132130,13080,Klink 40T Broach / EMAG VC DUO Drill,Gear Whell Steel Sof
1132130,13081,EMAG VC DUO Drill,Gear Whell Steel Sof
1132130,13082,New Harnas,Gear Whell Steel Sof
1132130,13085,Harnas do OSPM,Gear Whell Steel Sof
1132130,13086,Myjka do wiencow OSPM,Gear Whell Steel Sof
1132130,13090,Myjki do wiencow OSP i OMP,Gear Whell Steel Sof
1132130,13091,Pakowanie GWSS,Gear Whell Steel Sof
1132140,14020,"Slibe OMP kranse, 2 x Mgerle MGC",Gear Whell Steel Har
1132140,14040,Assembly table,Gear Whell Steel Har
1132140,14041,Assembly table,Gear Whell Steel Har
1132140,14042,US Packing Tabel (14040),Gear Whell Steel Har
1132140,14060,KAPP Profile Grind OMP&OMPI,Gear Whell Steel Har
1132140,14061,KAPP Profile Grind OMM&OML,Gear Whell Steel Har
1132140,14062,Mgerle Profile Grind,Gear Whell Steel Har
1132140,14063,Assembly table,Gear Whell Steel Har
1132160,150000,Magazyn,Roller GearWheel Set
1132160,15002,Klink Broach / VL5 Drill,Roller GearWheel Set
1132160,15004,Stama 530 Broach / SW Drill - not active,Roller GearWheel Set
1132160,15005,Frmag Broach / VL5 Drill,Roller GearWheel Set
1132160,15006,Dobbelt Klink (King Kong),Roller GearWheel Set
1132160,15007,Emag VL5 - Dobbelt,Roller GearWheel Set
1132160,15010,Discus,Roller GearWheel Set
1132160,15011,ELB PROFILGRINDING do not use,Roller GearWheel Set
1132160,15035,3 * Reinecker,Roller GearWheel Set
1132160,160000,Magazyn,Roller GearWheel Set
1132160,160001,Dostarczenie pod Discussa,Roller GearWheel Set
1132160,160002,Dostarczenie materiau,Roller GearWheel Set
1132161,16001,Cechowanie,Roller GearWheel Rim
1132161,16002,New Klink Broach,Roller GearWheel Rim
1132161,16003, VL5 Drill,Roller GearWheel Rim
1132161,16004,Frmag Broach,Roller GearWheel Rim
1132161,16005,VL5 Drill,Roller GearWheel Rim
1132161,16006,Dobbelt Klink (King Kong),Roller GearWheel Rim
1132161,16007, VL5 Drill,Roller GearWheel Rim
1132160,16008,SW BA25,Roller GearWheel Set
1132161,16009,Przeciaganie zgrubne,Roller GearWheel Rim
1132161,16010,Discus,Roller GearWheel Rim
1132161,16011,Mycie ( wience ),Roller GearWheel Rim
1132161,16012,Pakowanie wiencow do Chin,Roller GearWheel Rim
1132161,16014,Cechowanie,Roller GearWheel Rim
1132161,16016,Cechowanie,Roller GearWheel Rim
1132161,16018,Znakowanie laserowe,Roller GearWheel Rim
1132161,16020,Szczotkarka,Roller GearWheel Rim
1132140,16028,STAHLI HEIGHT GRIND,Gear Whell Steel Har
1132140,16029,WOLTERS ( obok Stahli),Gear Whell Steel Har
1132140,16030,MAEGERLE MGC GRIND GEARWHEELOMP/R/S,Gear Whell Steel Har
1132160,16031,MAEGERLE SILVER,Roller GearWheel Set
1132160,16032,Reinecker R2,Roller GearWheel Set
1132160,16035,Reinecker R4,Roller GearWheel Set
1132160,16036,US Packing Tabel (16035),Roller GearWheel Set
1132160,16037,Reinecker R3,Roller GearWheel Set
1132160,16038,Reinecker R5,Roller GearWheel Set
1132160,16039,Reinecker R1,Roller GearWheel Set
1132160,16040,MAEGERLE MGC GRIND GEARWHEEL OMP/T/V,Roller GearWheel Set
1132160,16050,szlifowanie ( wklady),Roller GearWheel Set
1132160,16051,stol  do MAEGERLE SILVER,Roller GearWheel Set
1132161,16066,magazyn - dostarczenie materialu,Roller GearWheel Rim
1132160,16080,Grinding wheel,Roller GearWheel Set
1132160,16081,US Packing Tabel (16080),Roller GearWheel Set
1132160,16082,Assembly table TMT,Roller GearWheel Set
1132320,16095,WASHING MACHINE,Manganese
1132160,16096,PACK RIM,Roller GearWheel Set
1132160,16099,PACK WHEELS INDIVIDUALLY,Roller GearWheel Set
1132162,16210,Painting Line,Painting Line
1132162,16220,Zaczyszczanie,Painting Line
1132162,16230,Gwintowanie,Painting Line
1131170,17010,Variant Housing,Housing Variant&Mini
1131170,17020,Variant Housing - honing,Housing Variant&Mini
1131170,17025,Mini Housing toczenie,Housing Variant&Mini
1131170,17030,Mini Housing,Housing Variant&Mini
1131170,17040,Variant Housing - support,Housing Variant&Mini
1131170,17050,DMC 60H (DW0607/8),Housing Variant&Mini
1131170,17060,NZX 2000 (DW0610),Housing Variant&Mini
1131180,180000,Magazyn - dostarczenie pod Liebherr,Cardan Shaft
1131180,18010,Cardan shaft - turning,Cardan Shaft
1131180,18020,Cardan shaft - milling,Cardan Shaft
1131180,18030,Cardan shaft - milling,Cardan Shaft
1131180,18040,Liebherr (Steering) - new machine,Cardan Shaft
1131185,18510,End Cover,Casting OMS/OMPR
1131185,18520,End Cover OMS,Casting OMS/OMPR
1131185,18530,Variant Housing - support,Casting OMS/OMPR
1131190,19010,OMEW Housing,Housing OMRS & OMEW
1131190,19020,OMRS Housing,Housing OMRS & OMEW
1131190,19030,Pilot flange,Housing OMRS & OMEW
1131190,19040,OMRS Housing - wier+frez,Housing OMRS & OMEW
1131195,190530,mycie,Heat Treatment
1131195,19510,Heat treatment,Heat Treatment
1131195,19530,mycie,Heat Treatment
1132210,21001,Washing components before assembly,Assembly SMC
1132210,21010,End Cover SMC2,Assembly SMC
1132210,21025,Front flange - SMC2,Assembly SMC
1132210,21030,Assembly Linie SMC2,Assembly SMC
