Num,CC,Opis,CC name
11038,1132110,TURMAT,Housing
11039,1132110,Kadia Honer,Housing
11040,1132110,Moriseiki,Housing
12000,1131120,Walki ogolny WRL,Shaft Soft
12001,1132121,Walki ogolny WRC,Shaft LR
120038,1132121,DO not use,Shaft LR
12010,1131120,Mori Seiki CL2000 - Turning,Shaft Soft
12011,1131120,MURATEC - Turning,Shaft Soft
12012,1132121,MURATEC - Odmuchiwanie otwor,Shaft LR
12021,1131120,Brother - Milling,Shaft Soft
12031,1132121,JUNKER GRIND 3,Shaft LR
12032,1132121,JUNKER GRIND 2,Shaft LR
12033,1132121,JUNKER GRIND 1,Shaft LR
12034,1132121,STUDER GRIND,Shaft LR
12035,1132121,JUNKER GRIND 2,Shaft LR
12036,1132121,JUNKER GRIND 4,Shaft LR
12038,1132120,do not use,Shaft HR
12039,1132121,do not use,Shaft LR
12040,1132121,Pakowanie do Ames,Shaft LR
12045,1132120,JUNKER GRIND HR,Shaft HR
12046,1132120,JUNKER GRIND HR,Shaft HR
12061,1131120,Pfauter (b©dzie Nowy Liebher),Shaft Soft
12062,1131120,HAAS - Milling,Shaft Soft
12070,1132120,STUDER S31 DW1400 -Szlifowanie,Shaft HR
12090,1132121,Magazyn  dostarczenie walkow,Shaft LR
130000,1132130,Magazyn  NIE UZYWAC !,Gear Whell Steel Sof
13010,1132130,Magazyn ( dostarczenie materialu),Gear Whell Steel Sof
130100,1132130,stacja pakowania dla Pune,Gear Whell Steel Sof
13020,1132130,EMAG Mill 1 +2,Gear Whell Steel Sof
13030,1132130,P.Wolters (End covers),Gear Whell Steel Sof
13035,1132130,Pfauter milling,Gear Whell Steel Sof
13040,1132130,25 tons Klink,Gear Whell Steel Sof
13050,1132130,Fr”mag,Gear Whell Steel Sof
13060,1132130,P. Wolters Lappe,Gear Whell Steel Sof
13080,1132130,Klink 40T Broach / EMAG VC DUO Drill,Gear Whell Steel Sof
13081,1132130,EMAG VC DUO Drill,Gear Whell Steel Sof
13082,1132130,New Harnas,Gear Whell Steel Sof
13085,1132130,Harnas do OSPM,Gear Whell Steel Sof
13086,1132130,Myjka do wiencow OSPM,Gear Whell Steel Sof
13090,1132130,Myjki do wiencow OSP i OMP,Gear Whell Steel Sof
13091,1132130,Pakowanie GWSS,Gear Whell Steel Sof
14020,1132140,"Slibe OMP kranse, 2 x M„gerle MGC",Gear Whell Steel Har
14040,1132140,Assembly table,Gear Whell Steel Har
14041,1132140,Assembly table,Gear Whell Steel Har
14042,1132140,US Packing Tabel (14040),Gear Whell Steel Har
14060,1132140,KAPP Profile Grind OMP&OMPI,Gear Whell Steel Har
14061,1132140,KAPP Profile Grind OMM&OML,Gear Whell Steel Har
14062,1132140,M„gerle Profile Grind,Gear Whell Steel Har
14063,1132140,Assembly table,Gear Whell Steel Har
150000,1132160,Magazyn,Roller GearWheel Set
15002,1132160,Klink Broach / VL5 Drill,Roller GearWheel Set
15004,1132160,Stama 530 Broach / SW Drill - not active,Roller GearWheel Set
15005,1132160,Fr”mag Broach / VL5 Drill,Roller GearWheel Set
15006,1132160,Dobbelt Klink (King Kong),Roller GearWheel Set
15007,1132160,Emag VL5 - Dobbelt,Roller GearWheel Set
15010,1132160,Discus,Roller GearWheel Set
15011,1132160,ELB PROFILGRINDING do not use,Roller GearWheel Set
15035,1132160,3 * Reinecker,Roller GearWheel Set
160000,1132160,Magazyn,Roller GearWheel Set
160001,1132160,Dostarczenie pod Discussa,Roller GearWheel Set
160002,1132160,Dostarczenie materiaˆu,Roller GearWheel Set
16001,1132161,Cechowanie,Roller GearWheel Rim
16002,1132161,New Klink Broach,Roller GearWheel Rim
16003,1132161, VL5 Drill,Roller GearWheel Rim
16004,1132161,Fr”mag Broach,Roller GearWheel Rim
16005,1132161,VL5 Drill,Roller GearWheel Rim
16006,1132161,Dobbelt Klink (King Kong),Roller GearWheel Rim
16007,1132161, VL5 Drill,Roller GearWheel Rim
16008,1132160,SW BA25,Roller GearWheel Set
16009,1132161,Przeciaganie zgrubne,Roller GearWheel Rim
16010,1132161,Discus,Roller GearWheel Rim
16011,1132161,Mycie ( wience ),Roller GearWheel Rim
16012,1132161,Pakowanie wiencow do Chin,Roller GearWheel Rim
16014,1132161,Cechowanie,Roller GearWheel Rim
16016,1132161,Cechowanie,Roller GearWheel Rim
16018,1132161,Znakowanie laserowe,Roller GearWheel Rim
16020,1132161,Szczotkarka,Roller GearWheel Rim
16028,1132140,STAHLI HEIGHT GRIND,Gear Whell Steel Har
16029,1132140,WOLTERS ( obok Stahli),Gear Whell Steel Har
16030,1132140,MAEGERLE MGC GRIND GEARWHEELOMP/R/S,Gear Whell Steel Har
16031,1132160,MAEGERLE SILVER,Roller GearWheel Set
16032,1132160,Reinecker R2,Roller GearWheel Set
16035,1132160,Reinecker R4,Roller GearWheel Set
16036,1132160,US Packing Tabel (16035),Roller GearWheel Set
16037,1132160,Reinecker R3,Roller GearWheel Set
16038,1132160,Reinecker R5,Roller GearWheel Set
16039,1132160,Reinecker R1,Roller GearWheel Set
16040,1132160,MAEGERLE MGC GRIND GEARWHEEL OMP/T/V,Roller GearWheel Set
16050,1132160,szlifowanie ( wklady),Roller GearWheel Set
16051,1132160,stol  do MAEGERLE SILVER,Roller GearWheel Set
16066,1132161,magazyn - dostarczenie materialu,Roller GearWheel Rim
16080,1132160,Grinding wheel,Roller GearWheel Set
16081,1132160,US Packing Tabel (16080),Roller GearWheel Set
16082,1132160,Assembly table TMT,Roller GearWheel Set
16095,1132320,WASHING MACHINE,Manganese
16096,1132160,PACK RIM,Roller GearWheel Set
16099,1132160,PACK WHEELS INDIVIDUALLY,Roller GearWheel Set
16210,1132162,Painting Line,Painting Line
16220,1132162,Zaczyszczanie,Painting Line
16230,1132162,Gwintowanie,Painting Line
17010,1131170,Variant Housing,Housing Variant&Mini
17020,1131170,Variant Housing - honing,Housing Variant&Mini
17025,1131170,Mini Housing toczenie,Housing Variant&Mini
17030,1131170,Mini Housing,Housing Variant&Mini
17040,1131170,Variant Housing - support,Housing Variant&Mini
17050,1131170,DMC 60H (DW0607/8),Housing Variant&Mini
17060,1131170,NZX 2000 (DW0610),Housing Variant&Mini
180000,1131180,Magazyn - dostarczenie pod Liebherr,Cardan Shaft
18010,1131180,Cardan shaft - turning,Cardan Shaft
18020,1131180,Cardan shaft - milling,Cardan Shaft
18030,1131180,Cardan shaft - milling,Cardan Shaft
18040,1131180,Liebherr (Steering) - new machine,Cardan Shaft
18510,1131185,End Cover,Casting OMS/OMPR
18520,1131185,End Cover OMS,Casting OMS/OMPR
18530,1131185,Variant Housing - support,Casting OMS/OMPR
19010,1131190,OMEW Housing,Housing OMRS & OMEW
19020,1131190,OMRS Housing,Housing OMRS & OMEW
19030,1131190,Pilot flange,Housing OMRS & OMEW
19040,1131190,OMRS Housing - wier+frez,Housing OMRS & OMEW
190530,1131195,mycie,Heat Treatment
19510,1131195,Heat treatment,Heat Treatment
19530,1131195,mycie,Heat Treatment
21001,1132210,Washing components before assembly,Assembly SMC
21010,1132210,End Cover SMC2,Assembly SMC
21025,1132210,Front flange - SMC2,Assembly SMC
21030,1132210,Assembly Linie SMC2,Assembly SMC
21031,1132210,Assembly Linie SMC2 - Station 2,Assembly SMC
21032,1132210,Assembly Linie SMC2 - Station 3,Assembly SMC
21033,1132210,TESTY SMC2,Assembly SMC
21039,1132210,Rework station,Assembly SMC
21040,1132210,Manual Assembly Linie Station 1,Assembly SMC
21041,1132210,Manual Assembly Linie Station 2,Assembly SMC
21050,1132210,Pack SMC2,Assembly SMC
21055,1132210,Packing - Painted Motors,Assembly SMC
21056,1132210,Pack Line For Manual Assembly,Assembly SMC
21060,1132210,HIC Assembly,Assembly SMC
21065,1132210,Packing - Not Painted SMC,Assembly SMC
21080,1132210,Assembly Linie SMC1 - Stacja buforowa,Assembly SMC
21081,1132210,Assembly Linie SMC2 - Monta¾,Assembly SMC
21090,1132210,SMC1 - Pakowanie do kartonu,Assembly SMC
21091,1132210,SMC1 - Pakowanie do malarza,Assembly SMC
22010,1132220,End Cover Variant,Assembly Varian/Mini
22020,1132220,Front Cover Variant,Assembly Varian/Mini
22025,1132220,Brake Kit Variant,Assembly Varian/Mini
22030,1132220,Assembly / Test Variant,Assembly Varian/Mini
22050,1132220,Single Pack Variant,Assembly Varian/Mini
22060,1132220,TESTY VARIANT,Assembly Varian/Mini
22070,1132220,Assembly / Test Mini,Assembly Varian/Mini
22071,1132220,Assembly / Test Mini,Assembly Varian/Mini
22080,1132220,TESTY MINI,Assembly Varian/Mini
22085,1132220,Packing - Not Painted Mini + Variant,Assembly Varian/Mini
22090,1132310,Thermal deburring NOR,HARDENING
22099,1132220,INSTRUCTION PACK TABLE,Assembly Varian/Mini
23010,1132230,OMS line - Wermtech,Assembly OMS
23020,1132230,OMS line - Variant,Assembly OMS
23030,1132230,OMS line - Wermtech,Assembly OMS
