,Date,MainFailure,AssemblyFailure,FailureDescr,TimeLost
0,2022-02-21 13:54:29,Ogolne_Linia,zapełnianie linii,,15
1,2022-02-21 13:54:57,Ogolne_Linia,rework motoru,,10
2,2022-02-21 13:55:07,Awaria,stacja 50 - test szczelności,przeddłużony test szczelności od 100 -147 sekund,25
3,2022-02-21 13:55:21,Awaria,stacja 40 - montaż śrub,problem z testem wizijnym na cover film. 11185636,2
4,2022-02-21 13:58:53,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,3
5,2022-02-21 13:59:16,Awaria,stacja 50 - test szczelności,przeddłużony test szczelności od 100 -147 sekund,15
6,2022-02-21 13:59:59,Przegląd_Serwis,interwencja DUR,"DUR na linii,trwa naprawa",17
7,2022-02-21 14:00:38,Oczekwianie,brakujący komponent,brak szczelnych adapterów na stacji napraw M22 do korpusów11183826,40
8,2022-02-21 14:00:55,Przegląd_Serwis,interwencja DUR,"DUR na linii,trwa naprawa",25
9,2022-02-21 14:01:14,Ogolne_Linia,dokładanie komponentów,"uzupełnienie plyt, oringów",1
10,2022-02-21 14:01:30,Awaria,stacja 50 - test szczelności,przeddłużony test szczelności od 100 -160 sekund,25
11,2022-02-21 14:02:04,Przegląd_Serwis,interwencja DUR,"DUR na linii,trwa naprawa",10
12,2022-02-21 14:02:20,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
13,2022-02-21 14:03:16,Przegląd_Serwis,interwencja DUR,"DUR na linii,trwa naprawa",45
14,2022-02-21 14:11:01,Przegląd_Serwis,interwencja DUR,"DUR na linii,trwa naprawa",40
15,2022-02-21 14:11:12,Przegląd_Serwis,interwencja DUR,"DUR na linii,trwa naprawa",10
16,2022-02-21 14:23:56,Ogolne_Linia,dodatkowa przerwa,opóźnienie autobusu,20
17,2022-02-21 16:31:28,Awaria,stacja 60 - KUKA,KUKA UPUŚĆIŁA  MOTOR na podłodze,10
18,2022-02-21 16:56:22,Awaria,stacja 60 - KUKA,KUKA UPUŚĆIŁA  MOTOR na podłodze,10
19,2022-02-21 17:13:38,Awaria,stacja 60 - KUKA,KUKA upuśćila kolejny motor ze st. Napraw na podłodze,15
20,2022-02-21 17:58:22,Ogolne_Linia,,przerwa od 17-40 do 18-00,20
21,2022-02-21 18:15:18,Awaria,stacja 60 - KUKA,KUKA upuśćila kolejny motor ze st. Napraw na podłodze,15
22,2022-02-21 22:05:09,Przegląd_Serwis,,puszanie testera,5
23,2022-02-21 22:48:07,Przegląd_Serwis,wymiana filtra,wymiana filtru hg003,20
24,2022-02-21 23:25:01,Awaria,stacja 60 - KUKA,zawieszenie robota,15
25,2022-02-21 23:51:52,Przegląd_Serwis,,"przeglad dur, nie idzie SMAR st 20",27
26,2022-02-22 00:57:52,Awaria,stacja 60 - KUKA,zawieszenie robota,15
27,2022-02-22 12:55:09,Ogolne_Linia,dokładanie komponentów,uzupelnienie śrub 7:00,2
28,2022-02-22 12:56:21,Ogolne_Linia,dokładanie komponentów,uzupelnienie śrub 8:31,1
29,2022-02-22 12:57:06,Przegląd_Serwis,wymiana papieru w drukarce,"Wymiana etykiet i kalibracja, dostosowanie wydruku 09:00:00",15
30,2022-02-22 12:57:33,Jakość,selekcja komponentów,selekcja+uzupelnienie plut 9:00,5
31,2022-02-22 13:06:43,Ogolne_Linia,dodatkowa przerwa, PRZERWA 9:40-10:00,20
32,2022-02-22 13:07:56,Szkolenie_Spotkanie,trening operatora,od 10:00-14:00 po 10 min w godzine,10
33,2022-02-22 13:10:23,Ogolne_Linia,dokładanie komponentów, w 10:32,1
34,2022-02-22 13:11:04,IT_Problem,,problem z licenziej EXCEL 11:15,10
35,2022-02-22 13:12:33,Ogolne_Linia,dokładanie komponentów,śruby+o-ringi,2
36,2022-02-22 13:13:02,Awaria,stacja 60 - KUKA,zawieszenie robota + szkolenie DUR 11:45,10
37,2022-02-22 13:14:36,Ogolne_Linia,,problematyczny pomiar cardana 11184809 11:46,3
38,2022-02-22 13:41:15,Szkolenie_Spotkanie,spotkanie z koordynatorem,,20
39,2022-02-22 13:57:12,Ogolne_Linia,,sprzątanie linii,5
40,2022-02-22 14:37:08,Awaria,stacja 60 - KUKA,"Zawieszenie Kuki,naprawa przes tehnologa",23
41,2022-02-22 15:04:22,Awaria,stacja 60 - KUKA,"Zawieszenie Kuki,naprawa przes tehnologa",20
42,2022-02-22 15:41:11,Awaria,stacja 30 - montaż silnika,"nie dziala test wizijny,czekanie na DUR",20
43,2022-02-22 16:00:27,Awaria,stacja 30 - montaż silnika,"Nie dziala test wizijny,czekanie na DUR",13
44,2022-02-22 16:38:37,Awaria,stacja 41 - dokręcanie śrub,"zawieszenie st.41,czekanie na DUR",22
45,2022-02-22 17:21:21,Awaria,stacja 41 - dokręcanie śrub,"naprawa st.41,paletka zatrzymuje się między st.40 i st.41 ,",40
46,2022-02-22 17:37:08,Ogolne_Linia,,przerwa,20
47,2022-02-22 18:01:04,Awaria,stacja 41 - dokręcanie śrub,"naprawa st.41,paletka zatrzymuje się między st.40 i st.41 ,",60
48,2022-02-22 19:40:50,Awaria,stacja 41 - dokręcanie śrub,AWARIA st.41 od god.16-30 do konca zmieny.DUR  nie może tego naprawić,60
49,2022-02-23 06:10:32,Awaria,stacja 41 - dokręcanie śrub,"awaria z poprzedniej zmiany, oczekiwanie na DUR",30
50,2022-02-23 06:37:13,Ogolne_Linia,zapełnianie linii,,10
51,2022-02-23 08:19:41,Szkolenie_Spotkanie,trening operatora,rework,5
52,2022-02-23 08:45:45,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
53,2022-02-23 09:14:51,Ogolne_Linia,,probłematyczny pomiar cardana 11184190,3
54,2022-02-23 09:22:48,Awaria,stacja 20 - praska,puszczenie ISIR  i powa,1
55,2022-02-23 09:24:25,Przegląd_Serwis,praca technologa,naprawa przez tehnologa Mikos P.,do 13:40
56,2022-02-23 09:29:13,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt",3
57,2022-02-23 13:37:15,Ogolne_Linia,,sprzątanie linii,10
58,2022-02-23 06:10:32,Awaria,stacja 41 - dokręcanie śrub,"awaria z poprzedniej zmiany, oczekiwanie na DUR",30
59,2022-02-23 06:37:13,Ogolne_Linia,zapełnianie linii,,10
60,2022-02-23 08:19:41,Szkolenie_Spotkanie,trening operatora,rework,5
61,2022-02-23 08:45:45,Ogolne_Linia,dokładanie komponentów,uzupełnienie śrub,1
62,2022-02-23 09:14:51,Ogolne_Linia,,probłematyczny pomiar cardana 11184190,3
63,2022-02-23 09:22:48,Awaria,stacja 20 - praska,puszczenie ISIR  i powa,1
64,2022-02-23 09:24:25,Przegląd_Serwis,praca technologa,naprawa przez tehnologa Mikos P.,do 13:40
65,2022-02-23 09:29:13,Ogolne_Linia,dokładanie komponentów,"uzupełnienie śrub, płyt",3
66,2022-02-23 13:37:15,Ogolne_Linia,,sprzątanie linii,10
67,2022-02-23 17:02:38,Ogolne_Linia,,"problem z docręcaniem śruby numer 7 ,4 .OMP 125",2
68,2022-02-23 17:37:25,Ogolne_Linia,dodatkowa przerwa,PRZERWA,20
69,2022-02-23 18:51:41,Ogolne_Linia,,"problem z docręcaniem śruby numer 7 ,4 .OMP 125",3
70,2022-02-23 19:48:54,Ogolne_Linia,,"problem z docręcaniem śruby numer 7 ,4 .OMP 125",3
71,2022-02-23 20:30:41,Ogolne_Linia,,"problem z docręcaniem śruby numer 7 ,4 .OMP 125",3
72,2022-02-23 21:48:35,Ogolne_Linia,,"problem z docręcaniem śruby numer 7 ,4 .OMP 125",3
